143: ['3:15:15', '3000', 'm', 'u']
144: ['3:15:18', '1993', 'm', 'u']
145: ['3:15:23', '1992', 'm', 'u']
146: ['3:15:27', '1981', 'm', 'u']
147: ['3:15:30', '1971', 'm', 'u']
148: ['3:15:32', '1973', 'm', 'u']
149: ['3:15:41', '1990', 'm', 'u']
150: ['3:15:43', '1992', 'm', 'u']
151: ['3:15:45', '1996', 'm', 'u']
152: ['3:15:58', '1990', 'm', 'u']
153: ['3:16:00', '1994', 'm', 'u']
154: ['3:16:02', '1988', 'm', 'u']
155: ['3:16:04', '1985', 'm', 'u']
156: ['3:16:13', '1979', 'm', 'u']
157: ['3:16:25', '1983', 'm', 'u']
158: ['3:16:34', '1979', 'm', 'u']
159: ['3:16:43', '1993', 'w', 'u']
160: ['3:16:44', '1994', 'm', 'u']
161: ['3:16:55', '1985', 'm', 'u']
162: ['3:16:57', '2006', 'm', 'u']
163: ['3:16:58', '1993', 'm', 'u']
164: ['3:17:11', '1961', 'm', 'u']
165: ['3:17:15', '2000', 'm', 'u']
166: ['3:17:25', '1978', 'm', 'u']
167: ['3:17:25', '1982', 'm', 'u']
168: ['3:17:33', '1989', 'm', 'u']
169: ['3:17:44', '1984', 'm', 'u']
171: ['3:18:00', '2001', 'm', 'u']
172: ['3:18:01', '1971', 'm', 'u']
173: ['3:18:01', '1983', 'm', 'u']
174: ['3:18:02', '1969', 'm', 'u']
175: ['3:18:08', '1977', 'm', 'u']
176: ['3:18:10', '2006', 'm', 'u']
177: ['3:18:30', '1987', 'm', 'u']
178: ['3:18:54', '1989', 'm', 'u']
179: ['3:18:59', '1988', 'm', 'u']
180: ['3:19:14', '1976', 'm', 'u']
181: ['3:19:31', '1994', 'm', 'u']
182: ['3:19:36', '1971', 'm', 'u']
183: ['3:19:38', '1968', 'm', 'u']
184: ['3:19:47', '1975', 'm', 'u']
185: ['3:20:12', '1997', 'm', 'u']
186: ['3:20:21', '1992', 'm', 'u']
187: ['3:20:47', '1997', 'w', 'u']
188: ['3:20:51', '1994', 'm', 'u']
189: ['3:21:03', '1986', 'm', 'u']
190: ['3:21:17', '1991', 'm', 'u']
191: ['3:21:17', '1975', 'm', 'u']
192: ['3:21:18', '1993', 'm', 'u']
193: ['3:21:20', '1975', 'm', 'u']
194: ['3:21:25', '1971', 'm', 'u']
195: ['3:21:36', '1996', 'm', 'u']
196: ['3:21:36', '2003', 'm', 'u']
197: ['3:21:37', '2002', 'm', 'u']
198: ['3:22:07', '2003', 'm', 'u']
199: ['3:22:12', '1994', 'm', 'u']
200: ['3:22:20', '1999', 'm', 'u']
201: ['3:22:31', '1962', 'm', 'u']
202: ['3:22:52', '2000', 'w', 'u']
203: ['3:22:52', '1982', 'm', 'u']
204: ['3:22:58', '1985', 'm', 'u']
205: ['3:23:08', '1997', 'm', 'u']
206: ['3:23:14', '2002', 'm', 'u']
207: ['3:23:26', '1993', 'm', 'u']
208: ['3:23:41', '1999', 'm', 'u']
209: ['3:23:41', '1977', 'm', 'u']
210: ['3:23:54', '1995', 'w', 'u']
211: ['3:23:57', '1997', 'm', 'u']
212: ['3:24:00', '1983', 'm', 'u']
213: ['3:24:09', '2000', 'm', 'u']
214: ['3:24:22', '1895', 'm', 'u']
215: ['3:24:25', '1982', 'm', 'u']
216: ['3:24:27', '2001', 'w', 'u']
217: ['3:24:36', '1997', 'm', 'u']
218: ['3:24:37', '1976', 'm', 'u']
219: ['3:24:38', '1994', 'm', 'u']
220: ['3:24:38', '1992', 'm', 'u']
221: ['3:24:42', '1972', 'm', 'u']
222: ['3:24:47', '1994', 'm', 'u']
223: ['3:24:47', '1969', 'm', 'u']
224: ['3:24:49', '2000', 'm', 'u']
226: ['3:25:07', '1984', 'w', 'u']
227: ['3:25:12', '1995', 'm', 'u']
228: ['3:25:15', '1983', 'm', 'u']
229: ['3:25:20', '1991', 'm', 'u']
230: ['3:25:21', '1999', 'w', 'u']
231: ['3:25:26', '1957', 'm', 'u']
232: ['3:25:38', '1995', 'w', 'u']
233: ['3:25:41', '1990', 'm', 'u']
234: ['3:25:56', '2003', 'm', 'u']
235: ['3:25:58', '2001', 'm', 'u']
236: ['3:26:06', '1994', 'm', 'u']
237: ['3:26:06', '1992', 'm', 'u']
238: ['3:26:07', '1983', 'm', 'u']
239: ['3:26:10', '2001', 'm', 'u']
240: ['3:26:12', '2002', 'm', 'u']
241: ['3:26:14', '1986', 'w', 'u']
242: ['3:26:18', '1990', 'm', 'u']
