131: ['2:57:51', '1979', 'M', 'ITA']
132: ['2:57:52', '1979', 'M', 'ITA']
133: ['2:57:57', '1997', 'M', 'GER']
134: ['2:58:00', '1986', 'M', 'SIG']
135: ['2:58:02', '1998', 'M', 'GER']
136: ['2:58:02', '1997', 'M', 'GER']
137: ['2:58:03', '1995', 'M', 'GER']
138: ['2:58:06', '1992', 'M', 'AUT']
139: ['2:58:06', '1994', 'M', 'AUT']
140: ['2:58:10', '1975', 'M', 'GER']
141: ['2:58:11', '2004', 'U', 'TSV']
142: ['2:58:12', '1976', 'M', 'GER']
143: ['2:58:13', '1997', 'M', 'GER']
144: ['2:58:19', '1979', 'M', 'USA']
145: ['2:58:23', '1979', 'M', 'GER']
146: ['2:58:25', '1995', 'M', 'GER']
147: ['2:58:29', '1978', 'M', 'GER']
148: ['2:58:29', '1982', 'M', 'GER']
149: ['2:58:30', '2002', 'U', 'GBR']
150: ['2:58:30', '1984', 'M', 'BRA']
151: ['2:58:31', '1975', 'M', 'GER']
152: ['2:58:35', '1996', 'M', 'RUN']
153: ['2:58:36', '1995', 'M', 'ITA']
154: ['2:58:36', '1970', 'M', 'TSV']
155: ['2:58:37', '1998', 'M', 'GER']
156: ['2:58:37', '1981', 'M', 'TSV']
157: ['2:58:38', '1994', 'M', 'GER']
158: ['2:58:40', '1998', 'M', 'GER']
159: ['2:58:40', '1990', 'M', 'GER']
160: ['2:58:42', '1985', 'M', 'GER']
161: ['2:58:50', '1982', 'M', 'GER']
162: ['2:58:50', '1986', 'M', 'GER']
163: ['2:58:55', '1998', 'M', 'FRA']
164: ['2:58:55', '2002', 'U', 'NOR']
165: ['2:58:57', '1978', 'M', 'GER']
166: ['2:58:57', '1996', 'M', 'CHN']
167: ['2:58:57', '1980', 'M', 'DEN']
168: ['2:59:00', '1994', 'M', 'TSV']
169: ['2:59:01', '1996', 'M', 'ESP']
170: ['2:59:01', '1986', 'M', 'FRA']
171: ['2:59:03', '1983', 'M', 'GER']
172: ['2:59:07', '2001', 'W', 'GER']
173: ['2:59:10', '1995', 'M', 'GER']
174: ['2:59:19', '2006', 'U', 'FRA']
175: ['2:59:22', '1978', 'M', 'FRA']
176: ['2:59:26', '1979', 'M', 'ESP']
177: ['2:59:30', '1985', 'M', 'GER']
178: ['2:59:34', '1991', 'M', 'GER']
179: ['2:59:37', '1992', 'M', 'GER']
180: ['2:59:39', '1984', 'M', 'BRA']
181: ['2:59:40', '1972', 'M', 'GER']
182: ['2:59:41', '1990', 'M', 'GBR']
183: ['2:59:42', '1992', 'M', 'AUT']
184: ['2:59:42', '2002', 'U', 'ISL']
185: ['2:59:55', '1985', 'M', 'GER']
186: ['2:59:58', '1985', 'W', 'GER']
187: ['3:00:04', '1985', 'M', 'CRO']
188: ['3:00:05', '1982', 'M', 'GER']
189: ['3:00:07', '1989', 'M', 'BRA']
190: ['3:00:10', '2001', 'M', 'GER']
191: ['3:00:15', '1996', 'M', 'GER']
192: ['3:00:26', '1994', 'M', 'ISL']
193: ['3:00:32', '1997', 'W', 'GER']
194: ['3:00:43', '1993', 'M', 'GER']
195: ['3:00:51', '1991', 'M', 'GER']
196: ['3:00:59', '1976', 'M', 'IFK']
197: ['3:01:05', '2005', 'U', 'FIN']
198: ['3:01:08', '1977', 'M', 'SWE']
199: ['3:01:18', '1993', 'M', 'GER']
200: ['3:01:23', '1985', 'M', 'USA']
201: ['3:01:43', '1976', 'M', 'SUI']
202: ['3:01:47', '1979', 'M', 'GER']
203: ['3:01:49', '1987', 'M', 'GER']
204: ['3:01:49', '1982', 'M', 'GER']
205: ['3:01:56', '1985', 'M', 'RUS']
206: ['3:02:17', '1977', 'M', 'GER']
207: ['3:02:17', '1980', 'M', 'GBR']
208: ['3:02:28', '1989', 'M', 'COL']
